"","Symbol","Company","Sector","Sub_Sector"
"1","MMM","3M Company","Industrials","Industrial Conglomerates"
"2","ABT","Abbott Laboratories","Health Care","Health Care Equipment"
"3","ABBV","AbbVie Inc.","Health Care","Pharmaceuticals"
"4","ABMD","ABIOMED Inc","Health Care","Health Care Equipment"
"5","ACN","Accenture plc","Information Technology","IT Consulting & Other Services"
"6","ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment"
"7","ADBE","Adobe Systems Inc","Information Technology","Application Software"
"8","AMD","Advanced Micro Devices Inc","Information Technology","Semiconductors"
"9","AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail"
"10","AES","AES Corp","Utilities","Independent Power Producers & Energy Traders"
"11","AMG","Affiliated Managers Group Inc","Financials","Asset Management & Custody Banks"
"12","AFL","AFLAC Inc","Financials","Life & Health Insurance"
"13","A","Agilent Technologies Inc","Health Care","Health Care Equipment"
"14","APD","Air Products & Chemicals Inc","Materials","Industrial Gases"
"15","AKAM","Akamai Technologies Inc","Information Technology","Internet Services & Infrastructure"
"16","ALK","Alaska Air Group Inc","Industrials","Airlines"
"17","ALB","Albemarle Corp","Materials","Specialty Chemicals"
"18","ARE","Alexandria Real Estate Equities","Real Estate","Office REITs"
"19","ALXN","Alexion Pharmaceuticals","Health Care","Biotechnology"
"20","ALGN","Align Technology","Health Care","Health Care Supplies"
"21","ALLE","Allegion","Industrials","Building Products"
"22","AGN","Allergan, Plc","Health Care","Pharmaceuticals"
"23","ADS","Alliance Data Systems","Information Technology","Data Processing & Outsourced Services"
"24","LNT","Alliant Energy Corp","Utilities","Electric Utilities"
"25","ALL","Allstate Corp","Financials","Property & Casualty Insurance"
"26","GOOGL","Alphabet Inc Class A","Communication Services","Interactive Media & Services"
"27","GOOG","Alphabet Inc Class C","Communication Services","Interactive Media & Services"
"28","MO","Altria Group Inc","Consumer Staples","Tobacco"
"29","AMZN","Amazon.com Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
"30","AMCR","Amcor plc","Materials","Paper Packaging"
"31","AEE","Ameren Corp","Utilities","Multi-Utilities"
"32","AAL","American Airlines Group","Industrials","Airlines"
"33","AEP","American Electric Power","Utilities","Electric Utilities"
"34","AXP","American Express Co","Financials","Consumer Finance"
"35","AIG","American International Group","Financials","Property & Casualty Insurance"
"36","AMT","American Tower Corp.","Real Estate","Specialized REITs"
"37","AWK","American Water Works Company Inc","Utilities","Water Utilities"
"38","AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks"
"39","ABC","AmerisourceBergen Corp","Health Care","Health Care Distributors"
"40","AME","AMETEK Inc.","Industrials","Electrical Components & Equipment"
"41","AMGN","Amgen Inc.","Health Care","Biotechnology"
"42","APH","Amphenol Corp","Information Technology","Electronic Components"
"43","ADI","Analog Devices, Inc.","Information Technology","Semiconductors"
"44","ANSS","ANSYS","Information Technology","Application Software"
"45","ANTM","Anthem","Health Care","Managed Health Care"
"46","AON","Aon plc","Financials","Insurance Brokers"
"47","AOS","A.O. Smith Corp","Industrials","Building Products"
"48","APA","Apache Corporation","Energy","Oil & Gas Exploration & Production"
"49","AIV","Apartment Investment & Management","Real Estate","Residential REITs"
"50","AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals"
"51","AMAT","Applied Materials Inc.","Information Technology","Semiconductor Equipment"
"52","APTV","Aptiv Plc","Consumer Discretionary","Auto Parts & Equipment"
"53","ADM","Archer-Daniels-Midland Co","Consumer Staples","Agricultural Products"
"54","ARNC","Arconic Inc.","Industrials","Aerospace & Defense"
"55","ANET","Arista Networks","Information Technology","Communications Equipment"
"56","AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers"
"57","AIZ","Assurant","Financials","Multi-line Insurance"
"58","ATO","Atmos Energy Corp","Utilities","Gas Utilities"
"59","T","AT&T Inc.","Communication Services","Integrated Telecommunication Services"
"60","ADSK","Autodesk Inc.","Information Technology","Application Software"
"61","ADP","Automatic Data Processing","Information Technology","Internet Services & Infrastructure"
"62","AZO","AutoZone Inc","Consumer Discretionary","Specialty Stores"
"63","AVB","AvalonBay Communities, Inc.","Real Estate","Residential REITs"
"64","AVY","Avery Dennison Corp","Materials","Paper Packaging"
"65","BHGE","Baker Hughes, a GE Company","Energy","Oil & Gas Equipment & Services"
