"","Ticker","Company","EPS_ttm","Beta"
"1","MMM","3M Company",8.22,1.12
"2","ABT","Abbott Laboratories",1.64,1.13
"3","ABBV","AbbVie Inc.",2.78,0.94
"4","ABMD","ABIOMED Inc",5.59,0.38
"5","ACN","Accenture plc",7.36,1.05
"6","ATVI","Activision Blizzard",1.82,0.87
"7","ADBE","Adobe Systems Inc",5.65,1.09
"8","AMD","Advanced Micro Devices Inc",0.19,3.05
"9","AAP","Advance Auto Parts",6.57,0.86
"10","AES","AES Corp",0.62,1.04
"11","AMG","Affiliated Managers Group Inc",-2.56,1.68
"12","AFL","AFLAC Inc",4.12,0.7
"13","A","Agilent Technologies Inc",3.4,1.45
"14","APD","Air Products & Chemicals Inc",7.8,0.87
"15","AKAM","Akamai Technologies Inc",2.57,0.63
"16","ALK","Alaska Air Group Inc",4.08,0.8
"17","ALB","Albemarle Corp",4.95,1.67
"18","ARE","Alexandria Real Estate Equities",3.5,0.72
"19","ALXN","Alexion Pharmaceuticals",5.49,1.64
"20","ALGN","Align Technology",5.16,1.98
"21","ALLE","Allegion",4.37,1.16
"22","AGN","Allergan, Plc",-25.6,1.64
"23","ADS","Alliance Data Systems",16.12,1.68
"24","LNT","Alliant Energy Corp",2.14,0.21
"25","ALL","Allstate Corp",7.55,0.82
"26","GOOGL","Alphabet Inc Class A",49.54,1.02
"28","MO","Altria Group Inc",3.44,0.39
"29","AMZN","Amazon.com Inc.",23.81,1.58
"31","AEE","Ameren Corp",3.22,0.24
"32","AAL","American Airlines Group",3.32,1.66
"33","AEP","American Electric Power",3.97,0.08
"34","AXP","American Express Co",7.49,1.05
"35","AIG","American International Group",-0.08,1.21
"36","AMT","American Tower Corp.",3.31,0.44
"37","AWK","American Water Works Company Inc",3.29,0.07
"38","AMP","Ameriprise Financial",13.56,1.86
"39","ABC","AmerisourceBergen Corp",4.18,0.98
"40","AME","AMETEK Inc.",3.52,1.21
"41","AMGN","Amgen Inc.",12.63,1.07
"42","APH","Amphenol Corp",4.01,1.04
"43","ADI","Analog Devices, Inc.",4.07,1.44
"44","ANSS","ANSYS",5.1,1.39
"45","ANTM","Anthem",15.4,0.73
"46","AON","Aon plc",5.94,0.86
"47","AOS","A.O. Smith Corp",2.48,1.49
"48","APA","Apache Corporation",-1.18,1.95
"49","AIV","Apartment Investment & Management",6.06,0.5
"50","AAPL","Apple Inc.",11.51,1.22
"51","AMAT","Applied Materials Inc.",3,1.64
"52","APTV","Aptiv Plc",3.78,2.04
"53","ADM","Archer-Daniels-Midland Co",2.28,1.1
"54","ARNC","Arconic Inc.",1,1.46
"55","ANET","Arista Networks",9.06,1.6
"56","AJG","Arthur J. Gallagher & Co.",3.76,0.81
"57","AIZ","Assurant",5.68,0.48
"58","ATO","Atmos Energy Corp",4.25,0.18
"59","T","AT&T Inc.",2.28,0.61
"60","ADSK","Autodesk Inc.",0.18,1.85
"61","ADP","Automatic Data Processing",5.24,0.89
"62","AZO","AutoZone Inc",59.13,0.61
"63","AVB","AvalonBay Communities, Inc.",6.59,0.48
"64","AVY","Avery Dennison Corp",2.77,1.31
"65","BHGE","Baker Hughes, a GE Company",0.13,1.02
"66","BLL","Ball Corp",1.68,0.73
"67","BAC","Bank of America Corp",2.81,1.61
"68","BK","The Bank of New York Mellon Corp.",3.74,1.12
"69","BAX","Baxter International Inc.",2.61,1
"70","BBT","BB&T Corporation",4,1.18
"71","BDX","Becton Dickinson",4,1.1
"72","BBY","Best Buy Co. Inc.",5.61,1.15
"73","BIIB","Biogen Inc.",27,1.03
"74","BLK","BlackRock",26.3,1.56
"75","HRB","Block H&R",2.11,0.23
"76","BA","Boeing Company",8.54,1.27
"77","BKNG","Booking Holdings Inc",89.2,1.12
"78","BWA","BorgWarner",3.79,1.83
"79","BXP","Boston Properties",3.43,0.87
"80","BSX","Boston Scientific",0.95,0.79
"81","BMY","Bristol-Myers Squibb",3.81,0.66
"82","AVGO","Broadcom Inc.",7.19,0.9
"83","BR","Broadridge Financial Solutions",4.07,0.7
"84","CHRW","C. H. Robinson Worldwide",5,0.64
"85","COG","Cabot Oil & Gas",1.93,0.54
"86","CDNS","Cadence Design Systems",1.5,1.17
"87","CPB","Campbell Soup",1.58,0.41
"88","COF","Capital One Financial",11.56,1.27
"89","CPRI","Capri Holdings",2.66,0.86
"90","CAH","Cardinal Health Inc.",4.51,1.31
"91","KMX","Carmax Inc",5.2,1.13
"92","CCL","Carnival Corp.",4.42,1.13
"93","CAT","Caterpillar Inc.",10.27,1.5
"95","CBRE","CBRE Group",3.17,1.69
"96","CBS","CBS Corp.",8.01,1.21
"97","CDW","CDW",4.58,1.09
"98","CE","Celanese",7.98,1.37
"99","CELG","Celgene Corp.",7.25,1.39
"100","CNC","Centene Corporation",3.04,0.82
"101","CNP","CenterPoint Energy",1.13,0.51
"102","CTL","CenturyLink Inc",-7.42,0.89
"103","CERN","Cerner",1.87,0.93
"104","CF","CF Industries Holdings Inc",2.08,0.96
"105","SCHW","Charles Schwab Corporation",2.65,1.37
"106","CHTR","Charter Communications",5.9,1.19
"107","CVX","Chevron Corp.",7.71,1.01
"108","CMG","Chipotle Mexican Grill",8.62,0.72
"109","CB","Chubb Limited",8.11,0.71
"110","CHD","Church & Dwight",2.39,0.13
"111","CI","CIGNA Corp.",10.93,0.69
"112","XEC","Cimarex Energy",6.19,1.36
"113","CINF","Cincinnati Financial",7.41,0.64
"114","CTAS","Cintas Corporation",8.43,0.99
"115","CSCO","Cisco Systems",2.8,1.29
"116","C","Citigroup Inc.",7.16,1.79
"117","CFG","Citizens Financial Group",3.67,1.47
"118","CTXS","Citrix Systems",3.52,1.05
"119","CLX","The Clorox Company",6.33,0.38
"120","CME","CME Group Inc.",5.12,0.19
"121","CMS","CMS Energy",1.94,0.07
"122","KO","Coca-Cola Company",1.69,0.46
"123","CTSH","Cognizant Technology Solutions",3.6,1.05
"124","CL","Colgate-Palmolive",2.72,0.74
"125","CMCSA","Comcast Corp.",2.66,1.08
"126","CMA","Comerica Inc.",7.74,1.55
"127","CAG","Conagra Brands",1.43,0.87
"128","CXO","Concho Resources",2.45,1.26
"129","COP","ConocoPhillips",6.18,1.04
"130","ED","Consolidated Edison",4.21,0.06
"131","STZ","Constellation Brands",2.89,0.72
"132","COO","The Cooper Companies",9.32,0.91
"133","CPRT","Copart Inc",2.47,0.8
"134","GLW","Corning Inc.",1.66,1.15
"136","COST","Costco Wholesale Corp.",7.9,0.92
"137","COTY","Coty, Inc",-5.04,0.74
"138","CCI","Crown Castle International Corp.",1.73,0.3
"139","CSX","CSX Corp.",4.16,1.23
"140","CMI","Cummins Inc.",15.73,1.14
"141","CVS","CVS Health",3.47,0.83
"142","DHI","D. R. Horton",4.16,1.01
"143","DHR","Danaher Corp.",3.41,0.95
"144","DRI","Darden Restaurants",5.77,0.37
"145","DVA","DaVita Inc.",3.29,1.59
"146","DE","Deere & Co.",10.1,1.16
"147","DAL","Delta Air Lines Inc.",7.14,1.16
"148","XRAY","Dentsply Sirona",0.46,0.95
"149","DVN","Devon Energy",2.56,2.41
"150","FANG","Diamondback Energy",6.25,0.83
"151","DLR","Digital Realty Trust Inc",1.09,0.4
"152","DFS","Discover Financial Services",8.53,1.63
"153","DISCA","Discovery Inc. Class A",2.4,1.54
"155","DISH","Dish Network",2.71,1.4
"156","DG","Dollar General",6.18,0.53
"157","DLTR","Dollar Tree",-6.63,0.56
"158","D","Dominion Energy",1.55,0.21
"159","DOV","Dover Corp.",4.16,1.49
"161","DTE","DTE Energy Co.",6.06,0.22
"162","DUK","Duke Energy",4.53,0.08
"163","DRE","Duke Realty Corp",0.64,0.69
"165","DXC","DXC Technology",3.94,1.96
"166","ETFC","E*Trade",4.06,1.25
"167","EMN","Eastman Chemical",6.41,1.41
"168","ETN","Eaton Corporation",5.14,1.42
"169","EBAY","eBay Inc.",2.09,1.41
"170","ECL","Ecolab Inc.",5.36,0.83
"171","EIX","Edison Int'l",-0.87,0.12
"172","EW","Edwards Lifesciences",3.61,0.8
"173","EA","Electronic Arts",7.14,0.94
"174","EMR","Emerson Electric Company",3.14,1.37
"175","ETR","Entergy Corp.",5.1,0.27
"176","EOG","EOG Resources",6.05,1.37
"177","EFX","Equifax Inc.",-3.53,1.21
"178","EQIX","Equinix",5.97,0.71
"179","EQR","Equity Residential",1.96,0.46
"180","ESS","Essex Property Trust, Inc.",6.22,0.31
"181","EL","Estee Lauder Cos.",4.83,0.78
"182","EVRG","Evergy",2.36,0.17
"183","ES","Eversource Energy",2.72,0.2
"184","RE","Everest Re Group Ltd.",12.55,0.28
"185","EXC","Exelon Corp.",2.34,0.27
"186","EXPE","Expedia Group",4.05,1.1
"187","EXPD","Expeditors",3.71,0.95
"188","EXR","Extra Space Storage",3.28,0.17
"189","XOM","Exxon Mobil Corp.",4.15,0.99
"190","FFIV","F5 Networks",7.72,1.07
"191","FB","Facebook, Inc.",5.9,1.05
"192","FAST","Fastenal Co",1.32,1.23
"193","FRT","Federal Realty Investment Trust",3.3,0.44
"194","FDX","FedEx Corporation",1.45,1.71
"195","FIS","Fidelity National Information Services",2.3,0.64
"196","FITB","Fifth Third Bancorp",2.97,1.4
"197","FE","FirstEnergy Corp",2.33,0.19
"198","FRC","First Republic Bank",4.97,0.89
"199","FISV","Fiserv Inc",2.43,0.77
"200","FLT","FleetCor Technologies Inc",10.14,1.1
"201","FLIR","FLIR Systems",2.02,1.15
"202","FLS","Flowserve Corporation",1.53,1.69
"203","FMC","FMC Corporation",4.99,1.5
"204","F","Ford Motor",0.51,1.1
"205","FTNT","Fortinet",2.31,1.07
"206","FTV","Fortive Corp",1.77,1.22
"207","FBHS","Fortune Brands Home & Security",2.86,1.49
"210","BEN","Franklin Resources",2.53,1.25
"211","FCX","Freeport-McMoRan Inc.",0.59,2.44
"212","GPS","Gap Inc.",2.54,0.72
"213","GRMN","Garmin Ltd.",3.88,0.91
"214","IT","Gartner Inc",2.34,1.22
"215","GD","General Dynamics",11.29,1.17
"216","GE","General Electric",-2.46,1.14
"217","GIS","General Mills",3.08,0.7
"218","GM","General Motors",6.14,1.44
"219","GPC","Genuine Parts",5.39,0.95
"220","GILD","Gilead Sciences",4.63,1.09
"221","GL","Globe Life Inc.",6.32,0.96
"222","GPN","Global Payments Inc.",2.92,0.97
"223","GS","Goldman Sachs Group",22.58,1.36
"224","GWW","Grainger (W.W.) Inc.",14.68,0.96
"225","HAL","Halliburton Co.",1.46,1.42
"226","HBI","Hanesbrands Inc",1.53,1.19
"227","HOG","Harley-Davidson",2.72,1.21
"228","HIG","Hartford Financial Svc.Gp.",4.33,0.65
"229","HAS","Hasbro Inc.",2.39,1.07
"230","HCA","HCA Healthcare",9.51,0.89
"231","HCP","HCP Inc.",2.01,0.2
"232","HP","Helmerich & Payne",-0.78,1.62
"233","HSIC","Henry Schein",3.15,0.86
"234","HSY","The Hershey Company",5.74,0.07
"235","HES","Hess Corporation",-0.16,1.95
"236","HPE","Hewlett Packard Enterprise",0.73,1.63
"237","HLT","Hilton Worldwide Holdings Inc",2.76,1.09
"238","HFC","HollyFrontier Corp",5.32,1.45
"239","HOLX","Hologic",-0.09,0.78
"240","HD","Home Depot",9.97,1.03
"241","HON","Honeywell Int'l Inc.",8.85,1.11
"242","HRL","Hormel Foods Corp.",1.82,0.06
"243","HST","Host Hotels & Resorts",1.48,1.14
"244","HPQ","HP Inc.",2.72,1.47
"245","HUM","Humana Inc.",18.51,0.8
"246","HBAN","Huntington Bancshares",1.26,1.47
"247","HII","Huntington Ingalls Industries",16.15,1.18
"248","IEX","IDEX Corporation",5.5,1.23
"249","IDXX","IDEXX Laboratories",4.66,0.78
"250","INFO","IHS Markit Ltd.",0.92,0.77
"251","ITW","Illinois Tool Works",7.45,1.22
"252","ILMN","Illumina Inc",6.34,1.03
"253","IR","Ingersoll-Rand PLC",5.79,1.25
"254","INTC","Intel Corp.",4.27,0.92
"255","ICE","Intercontinental Exchange",3.53,0.48
"256","IBM","International Business Machines",12.01,1.36
"257","INCY","Incyte",1.41,0.95
"258","IP","International Paper",3.9,1.53
"259","IPG","Interpublic Group",1.66,1.13
"260","IFF","Intl Flavors & Fragrances",3.76,0.87
"261","INTU","Intuit Inc.",5.9,1.1
"262","ISRG","Intuitive Surgical Inc.",10.01,1.14
"263","IVZ","Invesco Ltd.",1.47,1.57
"264","IPGP","IPG Photonics Corp.",5.84,2.17
"265","IQV","IQVIA Holdings Inc.",1.05,0.9
"266","IRM","Iron Mountain Incorporated",1.25,0.54
"267","JKHY","Jack Henry & Associates",3.51,0.9
"268","JEC","Jacobs Engineering Group",3.02,1.35
"269","JBHT","J. B. Hunt Transport Services",4.47,1.13
"270","SJM","JM Smucker",4.72,0.43
