"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"1","A","15.21","5.66","0.66","0.88%","15700","1.09B","S&P 500","23.38B","Yes","2.00","5.09B","Yes","2.10","0.38","21.84","0.27","4.93","13.24","22.03","32.65","4.59","2.08","1.70","-1.29%","Nov 13 AMC","3.40","10.60%","0.86","32.60%","-17.00%","27.30%","4.80%","5.90%","1.27%","54.60%","0.20%","-4.97%","89.60%","0.46%","18.50%","18.50%","21.10%","12.20%","22.00%","13.60%","0.40%","-9.58%","21.93%","61.01 - 82.27","2.44M","0.69","47.66","1.88%","2.38","308.31M","312.00M","82.50","1,229,268","1.46","1.45","-0.71%","-1.64%","-3.42%","9.05%","1.24%","11.06%","11.06%","74.92","74.39","1.26% 1.75%"
"2","AAL","-0.05","12.22","0.40","1.43%","128900","1.51B","S&P 500","12.36B","Yes","2.40","45.04B","Yes","0.50","-","5.11","-","-","2.29","8.41","-","0.27","0.65","0.40","4.44%","Oct 24 BMO","3.32","12.87%","1.39","17.80%","24.20%","-29.20%","10.70%","2.70%","3.84%","60.60%","1.10%","2.30%","80.90%","0.57%","6.10%","12.00%","3.30%","2.60%","-431.80%","9.00%","-10.11%","-30.52%","16.36%","24.23 - 40.58","7.24M","0.51","59.39","6.08%","3.70","441.00M","442.42M","36.88","2,688,726","0.89","1.66","0.95%","-18.74%","-2.34%","-15.57%","2.76%","-16.08%","-13.02%","27.93","28.19","2.66% 3.02%"
"3","AAP","51.18","10.42","0.24","0.15%","40000","478.40M","S&P 500","11.75B","Yes","2.30","9.66B","Yes","1.40","0.00","18.09","0.20","3.20","15.71","24.91","19.63","1.22","1.38","0.40","2.55%","Nov 12 BMO","6.57","18.00%","2.05","1.20%","34.30%","26.30%","8.10%","0.20%","9.19%","44.00%","0.30%","0.00%","-","0.57%","6.40%","4.00%","4.50%","4.30%","12.10%","10.20%","3.83%","-11.83%","26.17%","130.09 - 186.15","1.15M","0.48","64.15","5.50%","3.41","71.11M","71.74M","171.33","398,130","3.92","0.86","0.23%","-6.64%","6.48%","4.35%","5.00%","-2.74%","3.99%","163.75","164.13","2.20% 2.31%"
"4","AAPL","21.10","20.70","3.08","1.31%","132000","54.60B","DJIA S&P500","1075.38B","Yes","2.20","259.03B","Yes","1.50","1.12","18.45","0.88","11.15","11.37","20.44","24.40","4.15","2.01","1.50","4.67%","Oct 30 AMC","11.51","10.19%","2.83","16.50%","-6.60%","32.60%","9.20%","1.00%","8.94%","37.90%","0.10%","-10.59%","61.30%","0.33%","24.90%","25.00%","21.50%","15.90%","52.10%","26.60%","21.70%","-0.78%","66.39%","142.00 - 238.13","28.52M","0.77","67.18","0.97%","1.54","4.52B","4.57B","229.28","16,000,160","4.08","1.22","0.43%","15.41%","5.62%","16.14%","2.26%","5.91%","49.16%","235.28","236.28","1.39% 1.67%"
"5","ABBV","-5.79","3.62","4.28","5.70%","30000","4.18B","S&P 500","112.35B","Yes","2.10","32.62B","Yes","0.90","-","7.85","-","-","20.74","27.08","16.82","3.44","7.32","0.80","4.08%","Nov 01 BMO","2.78","3.70%","2.30","7.60%","-60.60%","4.80%","11.80%","-0.30%","10.09%","77.40%","0.10%","13.42%","72.10%","1.83%","21.80%","148.90%","12.50%","6.80%","-58.90%","21.80%","1.07%","-19.12%","22.60%","62.66 - 94.98","8.51M","0.91","67.67","4.12%","7.14","1.48B","1.50B","86.55","5,596,614","1.39","0.94","2.24%","-3.13%","5.43%","9.63%","0.93%","-18.25%","-18.49%","75.14","76.82","1.32% 1.87%"
"6","ABC","14.26","14.60","1.60","1.79%","21000","894.00M","S&P 500","18.39B","Yes","2.60","177.25B","Yes","1.00","1.51","11.79","1.45","6.28","6.13","21.40","10.94","0.10","2.65","0.60","7.90%","Nov 07 BMO","4.18","8.08%","1.58","17.80%","14.50%","188.60%","13.80%","4.90%","5.83%","2.70%","0.10%","-57.08%","69.20%","0.23%","0.60%","43.50%","0.50%","2.50%","32.20%","16.40%","8.80%","-6.04%","28.49%","69.36 - 94.85","1.28M","0.94","66.98","5.68%","6.71","151.06M","205.43M","95.44","867,108","2.34","0.98","-0.42%","23.53%","7.83%","4.65%","10.74%","-3.32%","20.30%","89.50","89.12","3.08% 2.55%"
"7","ABMD","22.17","10.76","-","-","1371","257.90M","S&P 500","7.98B","Yes","1.90","797.10M","Yes","6.80","0.00","33.79","0.00","7.96","16.40","31.57","34.84","10.01","1.32","5.90","0.43%","Oct 31 BMO","5.59","24.00%","0.93","99.70%","-1.10%","92.60%","33.20%","15.40%","-5.17%","83.00%","1.70%","-1.63%","94.60%","1.00%","30.00%","0.00%","32.40%","25.60%","28.80%","23.50%","-33.80%","-59.21%","12.55%","155.02 - 427.70","637.19K","0.46","46.90","4.80%","3.35","44.46M","45.22M","250.00","214,422","6.19","0.38","-1.16%","-31.20%","-7.42%","-32.23%","8.73%","-54.37%","-45.69%","176.52","174.47","3.43% 3.65%"
"8","ABT","17.91","1.90","1.28","1.55%","103000","2.92B","S&P 500","146.53B","Yes","1.70","30.94B","Yes","1.70","0.61","22.74","0.60","4.60","43.40","50.11","74.23","4.74","4.26","1.20","1.82%","Oct 16 BMO","1.64","11.77%","0.84","2.00%","38.90%","34.30%","9.20%","2.70%","-0.39%","58.70%","0.50%","-13.99%","76.60%","0.36%","12.80%","73.10%","9.40%","4.20%","9.40%","6.10%","4.24%","-6.55%","26.76%","65.44 - 88.76","4.62M","0.69","53.82","0.96%","3.65","1.75B","1.78B","94.32","2,323,052","1.87","1.13","0.69%","11.44%","-1.51%","-5.84%","2.80%","16.11%","13.89%","82.38","82.95","2.54% 2.11%"
"9","ACN","21.54","7.15","3.72","2.00%","459000","4.78B","S&P 500","124.25B","Yes","2.20","43.22B","Yes","1.30","0.00","21.70","0.00","8.64","26.03","25.28","30.10","2.88","2.90","1.30","-0.48%","Sep 26 BMO","7.36","8.72%","2.00","6.00%","15.60%","21.50%","6.50%","3.80%","-2.52%","30.80%","0.10%","-17.24%","73.90%","0.45%","14.10%","39.90%","10.30%","16.80%","35.70%","42.60%","5.23%","-7.74%","41.07%","132.63 - 202.80","1.90M","1.36","46.16","0.94%","3.31","667.86M","667.86M","201.48","1,877,795","3.27","1.05","0.57%","4.16%","-4.17%","-4.07%","1.20%","15.41%","31.93%","186.04","187.10","1.29% 1.70%"
"10","ADBE","21.08","7.51","-","-","21357","2.78B","S&P 500","130.81B","Yes","2.00","10.64B","Yes","0.70","0.40","27.75","0.10","12.77","35.83","47.70","34.51","12.29","2.31","0.70","-3.47%","Sep 17 AMC","5.65","20.65%","2.26","58.10%","16.20%","65.00%","17.40%","23.70%","-5.49%","85.20%","0.28%","-4.73%","89.90%","0.31%","28.40%","0.00%","26.10%","14.20%","28.20%","20.90%","-3.18%","-15.13%","29.67%","204.95 - 313.11","2.62M","1.57","37.61","1.16%","2.14","482.30M","485.85M","313.52","2,970,505","6.47","1.09","-1.30%","-0.49%","-3.75%","-12.26%","-2.09%","3.29%","19.01%","269.24","265.75","1.59% 2.17%"
